"Chiquitita";"ABBA"
"Dancing Queen";"ABBA"
"Does Your Mother Know";"ABBA"
"Estoy soñando";"ABBA"
"Felicidad";"ABBA"
"Fernando";"ABBA"
"Gimme! Gimme! Gimme! (A Man After Midnight)";"ABBA"
"I Do, I Do, I Do, I Do, I Do";"ABBA"
"Knowing Me, Knowing You";"ABBA"
"Mamma Mia";"ABBA"
"Money, Money, Money";"ABBA"
"No hay a quien culpar";"ABBA"
"Ring Ring";"ABBA"
"SOS";"ABBA"
"Summer Night City";"ABBA"
"Super Trouper";"ABBA"
"Take a Chance on Me";"ABBA"
"Thank You for the Music";"ABBA"
"The Winner Takes It All";"ABBA"
"Voulez-Vous";"ABBA"
"Waterloo";"ABBA"
